City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Torbay,CA,47.6666,-52.7314,55.27,76,40,8.05,scattered clouds
79,Sioux Lookout,CA,50.1001,-91.917,51.87,93,75,6.91,broken clouds
80,Tome,CL,-36.6167,-72.95,54.21,84,75,3.98,broken clouds
81,Pontes E Lacerda,BR,-15.2261,-59.3353,83.57,51,50,3.65,scattered clouds
82,Lannion,FR,48.75,-3.4167,55.15,87,55,1.01,broken clouds
83,Palmares Do Sul,BR,-30.2578,-50.5097,63.0,76,90,20.76,overcast clouds
84,Maua,BR,-23.6678,-46.4614,64.44,88,43,6.73,scattered clouds
85,Pangnirtung,CA,66.1451,-65.7125,32.0,100,100,4.61,light snow
86,Kajaani,FI,64.2273,27.7285,46.45,100,100,10.36,overcast clouds
87,Floro,NO,61.5996,5.0328,51.76,82,20,19.57,few clouds
88,Tromso,NO,69.6496,18.957,41.02,93,40,4.61,scattered clouds
89,Saldanha,ZA,-33.0117,17.9442,48.25,77,0,5.1,clear sky
90,Bredasdorp,ZA,-34.5322,20.0403,50.2,92,1,6.15,clear sky
91,Henties Bay,NA,-22.116,14.2845,53.87,94,14,6.13,few clouds
92,Marquard,ZA,-28.6645,27.4305,64.53,42,38,6.71,scattered clouds
93,Grindavik,IS,63.8424,-22.4338,43.27,75,100,2.3,overcast clouds
94,Sibolga,ID,1.7427,98.7792,74.57,88,100,3.51,overcast clouds
95,Bafoulabe,ML,13.8065,-10.8321,79.95,80,10,12.53,clear sky
96,Laguna,US,38.421,-121.4238,94.08,36,0,10.36,clear sky
97,Muscle Shoals,US,34.7448,-87.6675,84.25,33,0,5.75,clear sky
98,Kyrylivka,UA,46.3759,35.3675,58.53,57,89,9.66,overcast clouds
99,Itaporanga,BR,-7.3044,-38.1503,88.88,29,51,12.37,broken clouds
100,Abu Dhabi,AE,24.4667,54.3667,87.82,85,20,3.44,few clouds
101,Bemidji,US,47.4736,-94.8803,70.18,57,0,6.91,clear sky
102,Naryan-Mar,RU,67.6713,53.087,43.38,98,100,6.02,overcast clouds
103,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,18.41,few clouds
104,Ancud,CL,-41.8697,-73.8203,48.96,94,100,27.29,moderate rain
105,Beroroha,MG,-21.6667,45.1667,77.04,35,0,4.43,clear sky
106,Lavra,PT,41.2594,-8.7185,66.2,92,0,2.3,clear sky
107,Arkhangelsk,RU,64.5401,40.5433,46.51,100,100,2.24,overcast clouds
108,Beloit,US,42.5084,-89.0318,74.98,55,100,5.75,overcast clouds
109,Maniitsoq,GL,65.4167,-52.9,33.03,64,55,7.87,broken clouds
110,Thornhill,GB,55.2333,-3.7667,49.55,84,63,17.54,broken clouds
111,Berlevag,NO,70.8578,29.0864,42.75,75,100,2.3,overcast clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,78,8.01,broken clouds
113,Moultonborough,US,43.7548,-71.3967,61.14,92,100,2.17,overcast clouds
114,Tambopata,PE,-12.7333,-69.1833,80.49,78,0,4.61,clear sky
115,Senekal,ZA,-28.3197,27.6208,64.13,47,16,2.35,few clouds
116,Aksarka,RU,66.5606,67.7975,36.99,84,98,9.69,overcast clouds
117,Abu Samrah,SY,35.3029,37.1841,69.8,53,1,4.72,clear sky
118,Codrington,AU,-38.2667,141.9667,58.6,89,99,11.68,overcast clouds
119,Husavik,IS,66.0449,-17.3389,36.82,98,100,30.2,overcast clouds
120,Beyneu,KZ,45.3167,55.2,54.36,39,71,12.62,broken clouds
121,Tripoli,LY,32.8752,13.1875,73.49,60,2,12.8,clear sky
122,Sydney,AU,-33.8679,151.2073,60.64,92,75,19.57,light intensity shower rain
123,Staryy Nadym,RU,65.6118,72.6842,32.76,87,39,7.99,scattered clouds
124,Souillac,MU,-20.5167,57.5167,70.18,78,20,8.05,few clouds
125,Besancon,FR,47.2488,6.0182,59.14,79,0,4.21,clear sky
126,Qaqortoq,GL,60.7167,-46.0333,37.02,85,93,18.3,overcast clouds
127,Thompson,CA,55.7435,-97.8558,30.36,80,75,16.11,broken clouds
128,Sinjar,IQ,36.3209,41.8754,79.41,16,0,2.98,clear sky
129,Olden,NO,61.8364,6.8064,50.74,90,92,9.53,overcast clouds
