City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Quatre Cocos,MU,69.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
159,Bitkine,TD,78.35,broken clouds,11.9801,18.2138,
161,Alice Town,BS,79.7,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
164,Mwandiga,TZ,76.01,broken clouds,-4.83,29.6581,Kigoma Highland Motel
165,Acajutla,SV,82.49,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
166,Kaduna,NG,70.7,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
167,Damaturu,NG,80.82,scattered clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
168,Calamar,CO,79.52,overcast clouds,10.2511,-74.9146,Hostal Katyalex
169,Ikalamavony,MG,62.73,clear sky,-21.15,46.5833,
170,Feijo,BR,79.95,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
173,Port Antonio,JM,85.91,scattered clouds,18.18,-76.4612,The Trident Hotel
175,Valparaiso,CL,61.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
176,Bahia Honda,CU,77.54,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
177,Wadi Maliz,TN,71.26,few clouds,36.4681,8.5495,Heremony
178,Hamilton,US,76.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
179,Juba,SS,69.3,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
181,Mastic Beach,US,61.0,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
186,Waynesville,US,65.86,clear sky,35.4887,-82.9887,Best Western Smoky Mountain Inn
187,Tucuma,BR,80.04,clear sky,-0.1833,-50.05,
188,Bud,US,75.67,broken clouds,39.447,-86.1758,Ted McQuinn Trust
189,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
190,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
192,Maragogi,BR,76.23,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
193,Serta,PT,62.94,clear sky,39.8085,-8.0988,Hotel LarVerde
196,Altamira,BR,84.22,broken clouds,-3.2033,-52.2064,Requinte Hotel
197,Castro,BR,63.16,light rain,-24.7911,-50.0119,CHACARA BAILLY
198,Vila Do Maio,CV,81.39,few clouds,15.1333,-23.2167,Hotel Marilu
199,Sao Felix Do Xingu,BR,89.2,broken clouds,-6.6447,-51.995,Rio Xingu Camping
200,Tiznit,MA,71.73,scattered clouds,29.5833,-9.5,
205,Kathmandu,NP,66.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
206,Pimentel,PE,64.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
207,Gola Bazar,IN,71.44,moderate rain,26.3431,83.3553,Swarnkar Bhawan
208,Ilo,PE,60.57,clear sky,-17.6394,-71.3375,Torreblanca Hotel
209,Amapa,BR,82.89,broken clouds,1.0,-52.0,
210,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
211,Ovalle,CL,60.1,scattered clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
212,Kisangani,CD,68.9,light rain,0.5167,25.2,Grand Ramela Hotel
215,Bonfim,BR,84.06,overcast clouds,3.0833,-59.95,
216,Carnarvon,AU,61.9,few clouds,-24.8667,113.6333,Hospitality Carnarvon
217,Malanje,AO,65.75,overcast clouds,-9.5402,16.341,Hotel Ginga
218,Goderich,CA,66.52,broken clouds,43.7501,-81.7165,Harmony Inn
219,Mecca,SA,84.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
223,Mana,GF,79.63,scattered clouds,5.6592,-53.7767,LE SAMANA
224,Salina,US,80.02,few clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
225,Mangalam,IN,80.46,overcast clouds,9.7667,78.6667,
226,Iralaya,HN,79.84,overcast clouds,15.0,-83.2333,Iglesia morava renovada
227,Emilio Carranza,MX,77.14,broken clouds,19.9711,-96.6114,Hotel Carranza Inn
228,Japura,ID,72.09,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
229,Caravelas,BR,75.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
230,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
231,Bosaso,SO,84.33,scattered clouds,11.2842,49.1816,Red Sea Hotel
232,Muisne,EC,74.98,broken clouds,0.6,-80.0333,Quinta Samay
233,Marrakesh,MA,77.07,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
234,Hualmay,PE,62.17,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
236,Hisua,IN,76.44,overcast clouds,24.8333,85.4167,Munna Singh house teli tola
237,Cadereyta,MX,83.88,overcast clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
238,Sokolo,ML,88.3,clear sky,14.7328,-6.1219,
239,Saint George,US,87.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
240,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
241,Irituia,BR,79.74,broken clouds,-1.7711,-47.4381,Hotel Irituia
243,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Peniche,PT,64.11,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
246,Bara,NG,73.94,few clouds,10.3744,10.7288,
247,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
248,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
250,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
252,Torres,BR,62.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
253,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
254,Rawson,AR,63.97,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
255,Viedma,AR,64.02,scattered clouds,-40.8135,-62.9967,Hotel Cristal
256,Turan,VN,76.98,broken clouds,16.0678,108.2208,Grand Mercure Danang
259,Najran,SA,79.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
260,Los Llanos De Aridane,ES,73.13,few clouds,28.6585,-17.9182,Valle Aridane
261,Lubango,AO,62.01,clear sky,-14.9172,13.4925,Hotel Serra da Chela
262,Kanniyakumari,IN,77.77,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
264,Sidi Ali,DZ,66.54,overcast clouds,36.0998,0.4206,Khaled
267,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
270,Vieux-Habitants,GP,81.97,broken clouds,16.0589,-61.7659,Habitation GETZ
271,Francisco Sa,BR,77.14,overcast clouds,-16.4758,-43.4883,Amaralina Hotel
272,Ciudad Bolivar,VE,80.62,overcast clouds,8.1222,-63.5497,Hotel Edi
274,Beloha,MG,67.32,clear sky,-25.1667,45.05,
275,El Seibo,DO,83.73,overcast clouds,18.7641,-69.0375,Defensa Civil del Seibo
276,Marawi,PH,71.22,overcast clouds,7.9986,124.2928,Derogongan Residence
277,Kasempa,ZM,70.12,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
280,Merritt Island,US,78.22,clear sky,28.5392,-80.672,
285,Marsa Matruh,EG,71.8,few clouds,31.3525,27.2453,Beau Site
286,Astara,AZ,63.3,clear sky,38.5,48.6667,
287,Axim,GH,75.83,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
290,Balkanabat,TM,70.86,clear sky,39.5108,54.3671,Nebitchi Hotel
291,Xonacatlan,MX,68.13,light rain,19.4022,-99.5325,hotel villa soriano
292,Anloga,GH,77.72,few clouds,5.7947,0.8973,Pin Drop Hotel
294,Shelburne,CA,68.13,few clouds,44.0787,-80.2041,The Retreat at the Farm
295,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
296,Chatakonda,IN,74.73,overcast clouds,17.55,80.65,Hotel Surya Palace
299,Itacurubi Del Rosario,PY,70.43,scattered clouds,-24.5,-56.6833,Estancia Rodeo Tajy
301,Itarema,BR,78.51,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
303,San Bartolome De Tirajana,ES,65.32,few clouds,27.9248,-15.5733,Las Tirajanas
305,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
306,Gaya,IN,75.85,overcast clouds,24.7833,85.0,Hotel Viraat Inn Gaya
308,Kyaikto,MM,76.17,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
310,Karaton,ID,73.45,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
311,Benguela,AO,72.91,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
312,Tabou,CI,75.9,overcast clouds,4.423,-7.3528,hotêl doufoulougou
313,Tura,IN,71.56,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
314,Mangaratiba,BR,68.86,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
316,Itaocara,BR,70.25,scattered clouds,-21.6692,-42.0761,Hotel Jothouris
317,Saint-Joseph,RE,66.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
318,Le Port,RE,69.76,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
319,Buchanan,LR,76.59,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
320,Uvalde,US,89.31,broken clouds,29.3669,-99.767,
321,Imbituba,BR,64.27,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
322,Utica,US,65.48,clear sky,43.1009,-75.2327,Days Inn by Wyndham Utica
323,Takoradi,GH,75.42,clear sky,4.8845,-1.7554,Raybow International Hotel
328,Acarau,BR,78.58,scattered clouds,-2.8856,-40.12,castelo pizzaria
329,Meulaboh,ID,74.08,light rain,4.1363,96.1285,Kost Pria
331,Nieuw Amsterdam,SR,86.16,few clouds,5.8833,-55.0833,Hotel Stardust
332,Greenwood,US,75.79,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
335,Nioro,GM,77.86,broken clouds,13.35,-15.75,
336,Quebrangulo,BR,68.09,broken clouds,-9.3189,-36.4711,
338,Wattegama,LK,73.85,overcast clouds,6.7989,81.4808,
339,Marinette,US,70.25,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
341,Khash,IR,61.79,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
342,Serenje,ZM,67.23,few clouds,-13.2325,30.2352,The Kabaso's
343,Sundargarh,IN,72.82,broken clouds,22.1167,84.0333,Sankara City
348,Dabhol,IN,74.86,broken clouds,17.6,73.1667,Ashwamedh Resort
351,Kutum,SD,78.78,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
352,Zafarwal,PK,73.62,clear sky,32.3463,74.8999,Jaafri Chowk
354,Saint-Leu,RE,68.83,broken clouds,-21.15,55.2833,La Caz Oceane
355,Sur,OM,81.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
356,Grand-Santi,GF,83.82,few clouds,4.25,-54.3833,Hotel La Villa Couacou
357,Key Largo,US,81.99,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
360,Lagoa,PT,69.08,light rain,39.05,-27.9833,Casa Das Faias
361,Chapleau,CA,62.69,broken clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
362,Hambantota,LK,78.1,overcast clouds,6.1241,81.1185,Bungalow 63
363,Centerville,US,76.98,clear sky,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
364,Bridgetown,BB,79.29,broken clouds,13.1,-59.6167,Hilton Barbados Resort
369,Winder,US,76.21,clear sky,33.9926,-83.7202,Jameson Inn Winder
371,Punta Gorda,US,84.0,few clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
372,Akyab,MM,78.13,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
375,Tubmanburg,LR,73.85,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
378,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
379,Metz,FR,61.99,clear sky,49.1191,6.1727,ibis Metz Centre Cathédrale
385,Rafai,CF,67.69,light rain,4.95,23.9167,
386,Mitu,CO,80.15,light rain,1.1983,-70.1733,
387,Sechura,PE,67.59,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
389,Hurghada,EG,84.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
391,Bondo,CD,68.14,moderate rain,3.8146,23.6866,
393,Umm Lajj,SA,86.18,clear sky,25.0213,37.2685,Moon light Furnished Units
394,Racine,US,73.29,scattered clouds,42.7495,-88.0751,
397,Kudahuvadhoo,MV,81.07,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
398,Newark,US,61.07,mist,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
401,Manta,EC,74.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
402,Kang,BW,75.88,clear sky,-23.6752,22.7876,Kang Ultra Stop
403,Esmeraldas,BR,81.46,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
405,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
406,Misratah,LY,74.01,scattered clouds,32.3754,15.0925,Almasa Hotel
408,Barhi,IN,73.0,overcast clouds,23.9,80.8,Happy ka ghar
409,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
412,Aktau,KZ,61.38,broken clouds,43.65,51.2,Silk Way Hotel
413,Koungou,YT,73.11,clear sky,-12.7336,45.2042,Villa Netibor
414,Badin,PK,78.21,clear sky,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
415,Teknaf,BD,77.05,overcast clouds,20.8624,92.3058,Forestry Guesthouse
416,Bubaque,GW,82.09,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
417,Chongwe,ZM,73.76,clear sky,-15.3292,28.682,Grakas Lodge
419,Banda Aceh,ID,77.18,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
420,Presidencia Roque Saenz Pena,AR,68.95,broken clouds,-26.7852,-60.4388,Hotel Gualok
421,Carballo,ES,63.07,overcast clouds,43.213,-8.691,Pazo do Souto
422,Jiwani,PK,79.7,clear sky,25.05,61.7417,Hooth Market
423,Dimbokro,CI,72.12,broken clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
424,Assai,BR,66.06,broken clouds,-23.3733,-50.8414,Árvore Menor
425,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
426,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
427,Liwale,TZ,63.84,few clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
428,Ambam,CM,68.32,overcast clouds,2.3833,11.2833,Résidence St François
429,Ugoofaaru,MV,81.37,overcast clouds,5.6667,73.0,Ungoofaaru Inn
430,Lingsugur,IN,71.89,heavy intensity rain,16.1667,76.5167,Shree devi savji hotel
431,Praia Da Vitoria,PT,68.25,light intensity drizzle rain,38.7333,-27.0667,Hotel Branco I
433,Uvira,CD,76.12,broken clouds,-3.4067,29.1458,Hotel Suzana
434,Wilmington,US,73.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
435,Sabya,SA,89.22,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
437,Loandjili,CG,76.41,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
438,Prainha,BR,87.93,few clouds,-1.8,-53.48,Casa Rocha
439,Dalaba,GN,62.26,light rain,10.7,-12.25,Hôtel Tangama
441,Agropoli,IT,60.08,broken clouds,40.3469,14.9966,B&B Baia di Trentova
443,Thinadhoo,MV,82.22,overcast clouds,0.5333,72.9333,
444,Canutama,BR,85.15,broken clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
445,Toamasina,MG,66.2,scattered clouds,-18.1667,49.3833,Hotel H1
446,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
449,Berbera,SO,86.59,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
450,Dwarka,IN,81.01,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
454,Hobyo,SO,76.93,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
456,Santarem,BR,86.09,broken clouds,-2.4431,-54.7083,Hotel Imperador
457,Eirunepe,BR,79.38,moderate rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
458,Pochutla,MX,86.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
459,Faya,SA,70.32,scattered clouds,18.3851,42.4509,شيلة نسايم
460,Melilla,ES,71.98,few clouds,35.2937,-2.9383,Hotel Anfora
463,Perpignan,FR,65.82,few clouds,42.75,2.75,Le moulin a huile de l'agly
465,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
466,Mattawa,US,85.01,scattered clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
467,Kasongo-Lunda,CD,68.22,light rain,-6.4667,16.8167,
468,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Pousada Camboinha
469,Warrensburg,US,81.37,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
470,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
472,Freeport,US,60.78,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
473,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
475,Pijijiapan,MX,83.5,broken clouds,15.7011,-93.23,Hotel Rosita
476,Weligama,LK,76.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
477,Rudsar,IR,71.1,clear sky,37.1376,50.288,Hotel Bahar
478,Tshikapa,CD,69.17,light rain,-6.4167,20.8,Tatem beach
479,Lagunillas,VE,81.97,overcast clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
481,Saint-Michel-Des-Saints,CA,60.94,few clouds,46.6834,-73.9159,Motel Du Mont trinity
482,Kulhudhuffushi,MV,80.83,overcast clouds,6.6221,73.07,Haajy Guest House 1
483,Laela,TZ,63.34,scattered clouds,-8.5667,32.05,Samazi laela
484,Shache,CN,62.71,overcast clouds,38.4167,77.2406,Delong Hotel
486,Veraval,IN,79.74,broken clouds,20.9,70.3667,Lords Inn Somnath
487,Isla Mujeres,MX,84.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
488,Manoel Urbano,BR,82.58,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
490,Marsh Harbour,BS,79.68,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
491,Taltal,CL,60.37,few clouds,-25.4,-70.4833,Residencial Karime
492,Awjilah,LY,75.65,clear sky,29.1081,21.2869,المنزل
494,Omboue,GA,75.76,broken clouds,-1.5746,9.2618,Hotel Olako
496,Pedernales,DO,81.55,broken clouds,18.0384,-71.744,Hotel Costa Marina
498,Kisanga,TZ,69.57,few clouds,-7.4362,37.7034,
499,Marilandia,BR,72.5,broken clouds,-19.4128,-40.5417,Hotel Espaço Verde
500,Asilah,MA,75.16,clear sky,35.465,-6.0348,Hotel Zelis
501,Kilimatinde,TZ,68.02,scattered clouds,-5.85,34.95,
502,Sao Raimundo Nonato,BR,83.32,overcast clouds,-9.0153,-42.6994,Real Hotel
503,Bonthe,SL,77.65,light rain,7.5264,-12.505,Bonthe Holiday Village
505,Florianopolis,BR,64.62,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
506,Pontal Do Parana,BR,65.79,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
509,Bousso,TD,76.89,overcast clouds,10.4795,16.7117,
510,Nokaneng,BW,72.88,clear sky,-19.6667,22.2667,
511,Tucuman,AR,77.0,light rain,-26.8241,-65.2226,Dallas Hotel Tucuman
